protocol,trial,handshake_wall_ms,transaction_wall_ms,total_wall_ms,handshake_cpu_ms,transaction_cpu_ms,total_cpu_ms,handshake_peak_kib,transaction_peak_kib,total_peak_kib,handshake_bytes_sent,transaction_bytes_sent,total_bytes_sent,handshake_send_calls,transaction_send_calls,total_send_calls,read_values
Hybrid-PQ PKI,4,140.504434,4.758092,145.262526,139.058634,4.508599,143.56723300000002,24.8125,10.4111328125,24.8125,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,5,157.772655,3.699953,161.47260799999998,157.6453,3.677047,161.32234699999998,24.77734375,10.4111328125,24.77734375,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,6,143.242025,4.010046,147.252071,143.136931,3.997593,147.134524,24.83984375,9.8955078125,24.83984375,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,7,135.764201,4.64968,140.413881,135.651361,4.690566,140.341927,24.876953125,9.8955078125,24.876953125,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,8,156.584776,5.524755,162.109531,153.661547,5.296723,158.95827000000003,24.80859375,10.4111328125,24.80859375,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,9,151.792553,3.986423,155.778976,147.538001,3.964945,151.502946,24.828125,10.4111328125,24.828125,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,10,133.887964,4.308449,138.196413,133.844289,4.027315,137.871604,24.78515625,10.412109375,24.78515625,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,11,149.259095,4.601607,153.860702,149.252405,4.470939,153.723344,24.78515625,10.662109375,24.78515625,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,12,147.39292,4.725618,152.118538,146.791448,4.640721,151.43216900000002,25.408203125,10.701171875,25.408203125,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,13,145.735143,3.932361,149.667504,145.594966,3.893184,149.48815,24.80859375,10.412109375,24.80859375,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,14,134.535338,3.805828,138.341166,134.355344,3.747484,138.102828,24.82421875,10.412109375,24.82421875,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,15,133.049505,3.788759,136.838264,132.904508,3.697397,136.601905,24.76953125,10.662109375,24.76953125,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,16,141.319831,3.889163,145.208994,141.250867,3.806081,145.056948,24.84375,10.412109375,24.84375,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,17,141.28548,3.576043,144.861523,141.17717,3.577409,144.75457899999998,24.82421875,10.412109375,24.82421875,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,18,151.774953,5.064589,156.83954200000002,151.553164,4.745568,156.298732,24.81640625,10.412109375,24.81640625,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,19,141.849129,4.895065,146.744194,141.586502,4.92482,146.511322,24.80078125,10.146484375,24.80078125,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,20,160.520842,3.880243,164.401085,158.589006,3.870395,162.459401,24.83984375,9.896484375,24.83984375,3645,65,3710,6,2,8,"20,30,40"
